SYMBOL,MARKET_CAP,MARKET_CAP_CATEGORY,CURRENT_PRICE,PE_RATIO,PRICE_TO_BOOK,ROE,DEBT_TO_EQUITY,OPERATING_MARGIN,PROFIT_MARGIN,REVENUE_GROWTH,EARNINGS_GROWTH,SECTOR,RAW_SECTOR,INDUSTRY,FETCH_DATE,SUBSECTOR,HIGH_QUALITY_FLAG,HIGH_GROWTH_FLAG,COMPOUNDER_FLAG,REVENUE_GROWTH_SCORE,EARNINGS_GROWTH_SCORE,ROE_SCORE,OPERATING_MARGIN_SCORE,GROWTH_STABILITY_SCORE,GROWTH_SCORE,GROWTH_CATEGORY
SHAH,4349332480.0,MICRO CAP,4.880000114440918,48.8,1.2951169,0.051230002,77.528,-0.08289,0.0585,0.502,0.346,Misc,Basic Materials,Steel,2026-06-02,Steel,0,1,0,88.57,76.23,16.44,8.34,82.4,61.8,MODERATE GROWTH
CHOICEIN,147388923904.0,MID CAP,661.5999755859375,58.913624,7.8263435,0.16240999,49.768,0.30106002,0.20622998,0.218,0.153,Misc,Financial Services,Capital Markets,2026-06-02,Capital Markets,0,1,0,72.3,31.6,82.5,89.19,51.95,61.78,MODERATE GROWTH
HARRMALAYA,3587176704.0,MICRO CAP,194.3699951171875,12.3096895,2.003236,0.17509001,62.145,0.04558,0.05404,0.076,0.765,Misc,Consumer Defensive,Farm Products,2026-06-02,Farm Products,0,0,0,34.59,85.9,84.96,25.22,60.245000000000005,61.69,MODERATE GROWTH
MMFL,21333225472.0,SMALL CAP,441.8500061035156,21.852127,2.3030894,0.104949996,126.295,0.12354,0.06171,0.159,0.341,Misc,Industrials,Metal Fabrication,2026-06-02,Metal Fabrication,0,1,0,64.21,76.12,30.38,64.68,70.16499999999999,61.66,MODERATE GROWTH
IOB,625261543424.0,LARGE CAP,32.470001220703125,11.5551605,1.6903536,0.15654999,29.595,0.44187,0.37493,0.019,0.397,Financials,Financial Services,Banks - Regional,2026-06-02,Private Sector Banks,0,0,0,24.78,78.0,81.09,94.36,51.39,61.63,MODERATE GROWTH
SPLPETRO,130538299392.0,MID CAP,694.2000122070312,39.555557,5.877771,0.14316,5.61,0.14164,0.060900003,0.048,0.579,Chemicals,Basic Materials,Specialty Chemicals,2026-06-02,Specialty Chemicals,0,0,0,29.19,82.42,77.56,70.24,55.805,61.6,MODERATE GROWTH
INDUSINDBK,704024346624.0,LARGE CAP,903.25,80.248665,1.0703726,0.01362,29.595,0.17665,0.05158,2.727,0.171,Financials,Financial Services,Banks - Regional,2026-06-02,Private Sector Banks,0,1,0,98.39,50.02,9.36,77.68,74.205,61.58,MODERATE GROWTH
PATINTLOG,942190976.0,MICRO CAP,13.539999961853027,9.811594,0.78890634,0.11156999,5.065,0.03853,0.018660001,0.125,0.561,Misc,Industrials,Integrated Freight & Logistics,2026-06-02,Integrated Freight & Logistics,0,1,0,58.87,81.89,50.02,22.87,70.38,61.56,MODERATE GROWTH
VGL,3460666368.0,MICRO CAP,67.16000366210938,6.9740396,3.3801403,0.11156999,27.428,-0.22149,0.75439,1.043,0.171,Misc,Consumer Cyclical,Textile Manufacturing,2026-06-02,Textile Manufacturing,0,1,0,95.54,50.02,50.02,5.99,72.78,61.55,MODERATE GROWTH
BSHSL,10075028480.0,SMALL CAP,96.01000213623047,37.799213,7.69681,0.22619,82.638,0.09109,0.077470005,0.447,0.024,Chemicals,Basic Materials,Agricultural Inputs,2026-06-02,Agrochemicals,0,0,0,86.94,24.33,91.9,42.13,55.635,61.54,MODERATE GROWTH
