SYMBOL,MARKET_CAP,MARKET_CAP_CATEGORY,PE_RATIO,PRICE_TO_BOOK,ROE,DEBT_TO_EQUITY,OPERATING_MARGIN,PROFIT_MARGIN,REVENUE_GROWTH,EARNINGS_GROWTH,CURRENT_PRICE,SECTOR,RAW_SECTOR,INDUSTRY,FETCH_DATE,REVENUE_GROWTH_SCORE,EARNINGS_GROWTH_SCORE,GROWTH_SCORE,GROWTH_RANK,ROE_SCORE,OPERATING_MARGIN_SCORE,PROFIT_MARGIN_SCORE,DEBT_PENALTY,QUALITY_SCORE,QUALITY_RANK,PROMOTER_HOLDING,FII_HOLDING,DII_HOLDING,PLEDGE_PERCENT,OWNERSHIP_SCORE,OWNERSHIP_RANK,VALUATION_SCORE,VALUATION_RANK,VALUATION_STATUS,ROE_FACTOR,MARGIN_FACTOR,DEBT_FACTOR,QUALITY_FACTOR,REVENUE_FACTOR,EARNINGS_FACTOR,GROWTH_FACTOR,PE_FACTOR,PB_FACTOR,VALUE_FACTOR,PROMOTER_FACTOR,FII_FACTOR,OWNERSHIP_FACTOR,FACTOR_SCORE,FACTOR_RANK,FACTOR_GRADE
CLCIND,2842950.0,MICRO CAP,0.0,0.04430413,0.0,1024.584,-0.09686,-0.02537,4.224,0.0,27.35,FMCG,Consumer Cyclical,Textile Manufacturing,2026-05-11,422.4,0.0,211.2,128,0.0,-9.686,-2.537,1024.584,-105.99845,2333,44.08,14.62,9.64,6.51,21.573,1272,747.1377747401879,122,UNDERVALUED,42.27386934673367,9.087102177554438,0.7537688442211055,20.695142378559467,98.65996649916248,40.619765494137354,69.63986599664992,,95.18739352640544,,37.10217755443886,71.10552763819096,54.10385259631491,,1970,WEAK
WEIZMANIND,1362219392.0,MICRO CAP,0.0,2.1570697,0.0,11.861,0.13013,-0.02394,-0.004,0.214,87.92,FMCG,Consumer Cyclical,Textile Manufacturing,2026-05-11,-0.4,21.4,10.5,1124,0.0,13.013,-2.394,11.861,2.1192999999999995,1115,40.8,4.87,4.14,2.19,16.556999999999995,2071,695.907756434574,126,UNDERVALUED,42.27386934673367,63.65159128978225,59.54773869346733,54.27973199329984,25.879396984924625,68.71859296482413,47.298994974874375,,53.620102214650764,,28.433835845896148,15.284757118927972,21.85929648241206,,1971,WEAK
SEYAIND,465833408.0,MICRO CAP,0.0,0.050423477,0.0,94.318,-1.29727,0.0,0.0,0.0,15.61,CHEMICALS,Basic Materials,Specialty Chemicals,2026-05-11,0.0,0.0,0.0,1540,0.0,-129.727,0.0,94.318,-48.349900000000005,2300,44.34,13.75,4.82,2.81,20.568,1434,664.9609543982855,129,UNDERVALUED,42.27386934673367,2.3031825795644894,15.07537688442211,20.845896147403685,28.58040201005025,40.619765494137354,34.6000837520938,,95.14480408858603,,37.75125628140704,65.76633165829145,51.75879396984924,,1972,WEAK
GREENPANEL,26964537344.0,SMALL CAP,0.0,2.0014927,0.0,30.888,0.03712,-0.00074,0.158,0.203,219.89,OTHERS,Basic Materials,Lumber & Wood Production,2026-05-11,15.8,20.3,18.05,916,0.0,3.712,-0.074,30.888,-1.9937000000000005,1591,51.99,4.89,2.31,8.82,19.359,1645,663.9888130993434,130,UNDERVALUED,42.27386934673367,26.92629815745394,41.9179229480737,36.06365159128978,60.699329983249584,67.92294807370183,64.31113902847571,,56.60136286201022,,60.6574539363484,15.326633165829145,37.99204355108878,,1973,WEAK
FELDVR,1433484800.0,MICRO CAP,0.0,0.05481316,-2.38273,0.0,-0.97987,-1.31188,-0.132,0.0,2.9,FMCG,Consumer Cyclical,Department Stores,2026-05-11,-13.2,0.0,-6.6000000000000005,1800,-238.273,-97.987,-131.188,0.0,-145.58865,2345,58.57,6.72,2.26,5.75,22.5055,1135,617.3138202577629,135,UNDERVALUED,0.10469011725293131,2.701005025125628,93.27889447236181,19.778056951423785,13.756281407035175,40.619765494137354,27.188023450586265,,95.10221465076661,,79.48073701842546,25.9212730318258,52.701005025125625,,1974,WEAK
AGSTRA,316421824.0,MICRO CAP,0.0,0.0560701,0.0,199.958,-1.03956,-0.13553001,-0.439,0.0,2.47,IT,Technology,Software - Infrastructure,2026-05-11,-43.9,0.0,-21.95,2088,0.0,-103.956,-13.553001,199.958,-54.57085025,2305,13.8,14.21,8.58,0.96,11.142,2318,605.0445246218572,137,UNDERVALUED,42.27386934673367,2.512562814070352,5.9045226130653266,19.095477386934675,4.480737018425461,40.619765494137354,22.550251256281406,,95.05962521294718,,1.7169179229480735,68.71859296482413,35.2177554438861,,1975,WEAK
IL&FSENGG,3604518400.0,MICRO CAP,0.0,-0.11330102,0.0,0.0,-0.07569,-0.00546,-0.082,0.273,27.49,CAPITAL GOODS,Industrials,Engineering & Construction,2026-05-11,-8.200000000000001,27.3,9.55,1155,0.0,-7.568999999999999,-0.5459999999999999,0.0,-2.4072,1625,50.72,4.56,6.61,0.78,20.6945,1413,594.2186238040929,140,UNDERVALUED,42.27386934673367,9.757118927973199,93.27889447236181,39.46817420435511,17.77638190954774,71.7964824120603,44.78643216080402,,96.46507666098807,,56.78391959798995,13.400335008375208,35.09212730318258,,1976,WEAK
BGLOBAL,49113640.0,MICRO CAP,0.0,0.059910327,0.0,4.223,-6.89861,0.0,0.0,0.0,3.1,IT,Technology,Software - Application,2026-05-11,0.0,0.0,0.0,1593,0.0,-689.861,0.0,4.223,-207.3806,2354,29.34,3.34,5.64,6.56,12.025,2298,570.7483935115226,144,UNDERVALUED,42.27386934673367,1.1306532663316584,70.7286432160804,31.507537688442213,28.58040201005025,40.619765494137354,34.6000837520938,,95.01703577512777,,8.877721943048575,6.825795644891122,7.851758793969848,,1977,WEAK
BENGALASM,0.0,UNKNOWN,0.0,0.7283108,0.0,5.306,0.09652001,0.35662997,0.093,0.148,6521.0,OTHERS,,,2026-05-11,9.3,14.8,12.05,1073,0.0,9.652001,35.662997000000004,5.306,11.28074955,413,43.01,2.88,8.96,4.38,17.7195,1918,525.1912057324977,156,UNDERVALUED,42.27386934673367,51.86348408710217,68.5929648241206,51.37353433835846,48.22026800670017,64.42629815745393,56.32328308207705,,84.41226575809199,,34.33835845896148,4.920435510887772,19.629396984924625,,1978,WEAK
SUNDROP,26510311424.0,SMALL CAP,0.0,1.8336627,0.0138,0.0,0.06032,0.0129700005,0.005,0.139,703.25,FMCG,Consumer Defensive,Packaged Foods,2026-05-11,0.5,13.900000000000002,7.200000000000001,1245,1.38,6.032,1.29700005,0.0,2.6168500125,1055,40.36,13.36,2.11,0.29,18.6325,1782,473.3606970900374,161,UNDERVALUED,83.8358458961474,37.039363484087104,93.27889447236181,67.00586264656616,31.469849246231156,63.86097152428811,47.665410385259634,,59.49744463373084,,26.84254606365159,63.37939698492462,45.110971524288104,,1979,WEAK
