SYMBOL,FETCH_DATE
BLSE.NS,2026-06-04
BLUECHIP.NS,2026-06-04
BLUECOAST.NS,2026-06-04
BLUEDART.NS,2026-06-04
BLUEJET.NS,2026-06-04
BLUESTARCO.NS,2026-06-04
BLUESTONE.NS,2026-06-04
BLUSPRING.NS,2026-06-04
BMWVENTLTD.NS,2026-06-04
BNAGROCHEM.NS,2026-06-04
BNALTD.NS,2026-06-04
BODALCHEM.NS,2026-06-04
BOHRAIND.NS,2026-06-04
BOMDYEING.NS,2026-06-04
BONLON.NS,2026-06-04
BORANA.NS,2026-06-04
BOROLTD.NS,2026-06-04
BORORENEW.NS,2026-06-04
BOROSCI.NS,2026-06-04
BOSCH-HCIL.NS,2026-06-04
BOSCHLTD.NS,2026-06-04
BPCL.NS,2026-06-04
BPL.NS,2026-06-04
BRIGADE.NS,2026-06-04
BRIGHOTEL.NS,2026-06-04
BRITANNIA.NS,2026-06-04
BRNL.NS,2026-06-04
BROOKS.NS,2026-06-04
BSE.NS,2026-06-04
BSHSL.NS,2026-06-04
BSL.NS,2026-06-04
BSOFT.NS,2026-06-04
BTML.NS,2026-06-04
BTTL.NS,2026-06-04
BUILDPRO.NS,2026-06-04
BUTTERFLY.NS,2026-06-04
BVCL.NS,2026-06-04
BYKE.NS,2026-06-04
CALSOFT.NS,2026-06-04
CAMLINFINE.NS,2026-06-04
CAMPUS.NS,2026-06-04
CAMS.NS,2026-06-04
CANBK.NS,2026-06-04
CANFINHOME.NS,2026-06-04
CANHLIFE.NS,2026-06-04
CANTABIL.NS,2026-06-04
CAPACITE.NS,2026-06-04
CAPILLARY.NS,2026-06-04
CAPITALSFB.NS,2026-06-04
CAPLIPOINT.NS,2026-06-04
CAPTRUST.NS,2026-06-04
CARBORUNIV.NS,2026-06-04
CARERATING.NS,2026-06-04
CARRARO.NS,2026-06-04
CARTRADE.NS,2026-06-04
CARYSIL.NS,2026-06-04
CASTROLIND.NS,2026-06-04
CCAVENUE.NS,2026-06-04
CCCL.NS,2026-06-04
CCHHL.NS,2026-06-04
CCL.NS,2026-06-04
CDSL.NS,2026-06-04
CEATLTD.NS,2026-06-04
CEIGALL.NS,2026-06-04
CEINSYS.NS,2026-06-04
CELEBRITY.NS,2026-06-04
CELLO.NS,2026-06-04
CEMPRO.NS,2026-06-04
CENTENKA.NS,2026-06-04
CENTEXT.NS,2026-06-04
CENTRALBK.NS,2026-06-04
CENTRUM.NS,2026-06-04
CENTUM.NS,2026-06-04
CENTURYPLY.NS,2026-06-04
CERA.NS,2026-06-04
CEREBRAINT.NS,2026-06-04
CESC.NS,2026-06-04
CEWATER.NS,2026-06-04
CGCL.NS,2026-06-04
CGPOWER.NS,2026-06-04
CHALET.NS,2026-06-04
CHAMBLFERT.NS,2026-06-04
CHEMBOND.NS,2026-06-04
CHEMBONDCH.NS,2026-06-04
CHEMCON.NS,2026-06-04
CHEMFAB.NS,2026-06-04
CHEMPLASTS.NS,2026-06-04
CHENNPETRO.NS,2026-06-04
CHEVIOT.NS,2026-06-04
CHOICEIN.NS,2026-06-04
CHOLAFIN.NS,2026-06-04
CHOLAHLDNG.NS,2026-06-04
CIEINDIA.NS,2026-06-04
CIFL.NS,2026-06-04
CINELINE.NS,2026-06-04
CINEVISTA.NS,2026-06-04
CIPLA.NS,2026-06-04
CLCIND.NS,2026-06-04
CLEAN.NS,2026-06-04
CLEANMAX.NS,2026-06-04
CLEDUCATE.NS,2026-06-04
CLSEL.NS,2026-06-04
CMPDI.NS,2026-06-04
CMSINFO.NS,2026-06-04
CNL.NS,2026-06-04
COALINDIA.NS,2026-06-04
COASTCORP.NS,2026-06-04
COCHINSHIP.NS,2026-06-04
COCKERILL.NS,2026-06-04
COFFEEDAY.NS,2026-06-04
COFORGE.NS,2026-06-04
COHANCE.NS,2026-06-04
COLPAL.NS,2026-06-04
COMFINTE.NS,2026-06-04
COMPINFO.NS,2026-06-04
COMPUSOFT.NS,2026-06-04
COMSYN.NS,2026-06-04
CONCOR.NS,2026-06-04
CONCORDBIO.NS,2026-06-04
CONFIPET.NS,2026-06-04
CONSOFINVT.NS,2026-06-04
CONTROLPR.NS,2026-06-04
CORALFINAC.NS,2026-06-04
CORDSCABLE.NS,2026-06-04
COROMANDEL.NS,2026-06-04
CORONA.NS,2026-06-04
COSMOFIRST.NS,2026-06-04
COUNCODOS.NS,2026-06-04
CPCAP.NS,2026-06-04
CPEDU.NS,2026-06-04
CPPLUS.NS,2026-06-04
CRAFTSMAN.NS,2026-06-04
CRAMC.NS,2026-06-04
CREATIVEYE.NS,2026-06-04
CREDITACC.NS,2026-06-04
CREST.NS,2026-06-04
CRISIL.NS,2026-06-04
CRIZAC.NS,2026-06-04
CROMPTON.NS,2026-06-04
CROWN.NS,2026-06-04
CSBBANK.NS,2026-06-04
CSLFINANCE.NS,2026-06-04
CTE.NS,2026-06-04
CUB.NS,2026-06-04
CUBEXTUB.NS,2026-06-04
CUMMINSIND.NS,2026-06-04
CUPID.NS,2026-06-04
CURAA.NS,2026-06-04
CYBERMEDIA.NS,2026-06-04
CYBERTECH.NS,2026-06-04
CYIENT.NS,2026-06-04
CYIENTDLM.NS,2026-06-04
DABUR.NS,2026-06-04
DAICHI.NS,2026-06-04
DALBHARAT.NS,2026-06-04
DALMIASUG.NS,2026-06-04
DAMCAPITAL.NS,2026-06-04
DAMODARIND.NS,2026-06-04
DANGEE.NS,2026-06-04
DATAMATICS.NS,2026-06-04
DATAPATTNS.NS,2026-06-04
DAVANGERE.NS,2026-06-04
DBCORP.NS,2026-06-04
DBEIL.NS,2026-06-04
DBL.NS,2026-06-04
DBOL.NS,2026-06-04
DBREALTY.NS,2026-06-04
DBSTOCKBRO.NS,2026-06-04
DCAL.NS,2026-06-04
DCBBANK.NS,2026-06-04
DCI.NS,2026-06-04
DCM.NS,2026-06-04
DCMFINSERV.NS,2026-06-04
DCMNVL.NS,2026-06-04
DCMSHRIRAM.NS,2026-06-04
DCMSIL.NS,2026-06-04
DCMSRIND.NS,2026-06-04
DCW.NS,2026-06-04
DCXINDIA.NS,2026-06-04
DDEVPLSTIK.NS,2026-06-04
DECCANCE.NS,2026-06-04
DECNGOLD.NS,2026-06-04
DEEDEV.NS,2026-06-04
DEEPAKFERT.NS,2026-06-04
DEEPAKNTR.NS,2026-06-04
DEEPINDS.NS,2026-06-04
DELHIVERY.NS,2026-06-04
DELPHIFX.NS,2026-06-04
DELTACORP.NS,2026-06-04
DELTAMAGNT.NS,2026-06-04
DEN.NS,2026-06-04
DENORA.NS,2026-06-04
DENTA.NS,2026-06-04
DEVIT.NS,2026-06-04
DEVX.NS,2026-06-04
DEVYANI.NS,2026-06-04
DGCONTENT.NS,2026-06-04
DHAMPURSUG.NS,2026-06-04
DHANBANK.NS,2026-06-04
DHANUKA.NS,2026-06-04
DHARAN.NS,2026-06-04
DHARMAJ.NS,2026-06-04
DHRUV.NS,2026-06-04
DHUNINV.NS,2026-06-04
DIACABS.NS,2026-06-04
DIAMINESQ.NS,2026-06-04
DIAMONDYD.NS,2026-06-04
DICIND.NS,2026-06-04
DIFFNKG.NS,2026-06-04
DIGIDRIVE.NS,2026-06-04
DIGISPICE.NS,2026-06-04
DIGITIDE.NS,2026-06-04
DIGJAMLMTD.NS,2026-06-04
DISAQ.NS,2026-06-04
DISHTV.NS,2026-06-04
DIVGIITTS.NS,2026-06-04
DIVISLAB.NS,2026-06-04
DIXON.NS,2026-06-04
DJML.NS,2026-06-04
DLF.NS,2026-06-04
DLINKINDIA.NS,2026-06-04
DMART.NS,2026-06-04
DMCC.NS,2026-06-04
DNAMEDIA.NS,2026-06-04
DODLA.NS,2026-06-04
DOLATALGO.NS,2026-06-04
DOLLAR.NS,2026-06-04
DOLPHIN.NS,2026-06-04
DOMS.NS,2026-06-04
DONEAR.NS,2026-06-04
DPABHUSHAN.NS,2026-06-04
DPSCLTD.NS,2026-06-04
DPWIRES.NS,2026-06-04
DRAGARWQ.NS,2026-06-04
DRCSYSTEMS.NS,2026-06-04
DREAMFOLKS.NS,2026-06-04
DREDGECORP.NS,2026-06-04
DRREDDY.NS,2026-06-04
DSFCL.NS,2026-06-04
DSSL.NS,2026-06-04
DTIL.NS,2026-06-04
DUCON.NS,2026-06-04
DVL.NS,2026-06-04
DWARKESH.NS,2026-06-04
DYCL.NS,2026-06-04
DYNAMATECH.NS,2026-06-04
DYNPRO.NS,2026-06-04
E2E.NS,2026-06-04
EASEMYTRIP.NS,2026-06-04
EASTSILK.NS,2026-06-04
EBGNG.NS,2026-06-04
ECLERX.NS,2026-06-04
ECOSMOBLTY.NS,2026-06-04
EDELWEISS.NS,2026-06-04
EFCIL.NS,2026-06-04
EICHERMOT.NS,2026-06-04
EIDPARRY.NS,2026-06-04
EIEL.NS,2026-06-04
EIFFL.NS,2026-06-04
EIHAHOTELS.NS,2026-06-04
EIHOTEL.NS,2026-06-04
EIMCOELECO.NS,2026-06-04
EKC.NS,2026-06-04
ELANTAS.NS,2026-06-04
ELCIDIN.NS,2026-06-04
ELDEHSG.NS,2026-06-04
ELECON.NS,2026-06-04
ELECTCAST.NS,2026-06-04
ELECTHERM.NS,2026-06-04
ELGIEQUIP.NS,2026-06-04
ELGIRUBCO.NS,2026-06-04
ELIN.NS,2026-06-04
ELITECON.NS,2026-06-04
ELLEN.NS,2026-06-04
ELPROINTL.NS,2026-06-04
EMAMILTD.NS,2026-06-04
